game_date,game_time,game_id,winner,home_team,home_score,away_team,away_score,start_time,location,game_link
"October 15, 2022",2022-10-15 13:30:00,scotiabank-vs-sonnet,Sonnet,Scotiabank,2.0,Sonnet,4.0,,Montreal Showcase,https://stats.pwhpa.com/event/scotiabank-vs-sonnet/
"October 15, 2022",2022-10-15 16:15:31,team-harveys-vs-team-adidas,adidas,Harvey's,2.0,adidas,4.0,,Montreal Showcase,https://stats.pwhpa.com/event/team-harveys-vs-team-adidas/
"October 16, 2022",2022-10-16 13:30:16,team-adidas-vs-team-scotiabank,Scotiabank,adidas,0.0,Scotiabank,5.0,,Montreal Showcase,https://stats.pwhpa.com/event/team-adidas-vs-team-scotiabank/
"October 16, 2022",2022-10-16 16:30:56,team-sonnet-vs-team-harveys,Harvey's,Sonnet,2.0,Harvey's,3.0,,Montreal Showcase,https://stats.pwhpa.com/event/team-sonnet-vs-team-harveys/
"November 4, 2022",2022-11-04 15:30:01,team-sonnet-vs-team-scotiabank,Scotiabank,Sonnet,1.0,Scotiabank,2.0,,Truro Showcase,https://stats.pwhpa.com/event/team-sonnet-vs-team-scotiabank/
"November 4, 2022",2022-11-04 19:00:17,team-adidas-vs-team-harveys,Harvey's,adidas,3.0,Harvey's,4.0,,Truro Showcase,https://stats.pwhpa.com/event/team-adidas-vs-team-harveys/
"November 5, 2022",2022-11-05 14:30:33,team-sonnet-vs-team-harveys-2,Harvey's,Harvey's,6.0,Sonnet,2.0,,Truro Showcase,https://stats.pwhpa.com/event/team-sonnet-vs-team-harveys-2/
"November 5, 2022",2022-11-05 18:00:52,team-scotiabank-vs-team-adidas,adidas,Scotiabank,3.0,adidas,5.0,,Truro Showcase,https://stats.pwhpa.com/event/team-scotiabank-vs-team-adidas/
"November 6, 2022",2022-11-06 11:00:12,team-adidas-vs-team-sonnet-2,Sonnet,adidas,1.0,Sonnet,4.0,,Truro Showcase,https://stats.pwhpa.com/event/team-adidas-vs-team-sonnet-2/
"November 6, 2022",2022-11-06 14:30:49,team-scotiabank-vs-team-harveys,Harvey's,Harvey's,5.0,Scotiabank,1.0,,Truro Showcase,https://stats.pwhpa.com/event/team-scotiabank-vs-team-harveys/
"November 26, 2022",2022-11-26 12:30:47,team-harveys-vs-team-adidas-2,Harvey's,Harvey's,4.0,adidas,3.0,,Pittsburgh Showcase,https://stats.pwhpa.com/event/team-harveys-vs-team-adidas-2/
"November 26, 2022",2022-11-26 15:30:15,team-scotiabank-vs-team-sonnet,Scotiabank,Scotiabank,5.0,Sonnet,4.0,,Pittsburgh Showcase,https://stats.pwhpa.com/event/team-scotiabank-vs-team-sonnet/
"November 27, 2022",2022-11-27 11:00:56,team-scotiabank-vs-team-harveys-2,Harvey's,Scotiabank,2.0,Harvey's,5.0,,Pittsburgh Showcase,https://stats.pwhpa.com/event/team-scotiabank-vs-team-harveys-2/
"November 27, 2022",2022-11-27 14:00:20,team-sonnet-vs-team-adidas,adidas,Sonnet,1.0,adidas,3.0,,Pittsburgh Showcase,https://stats.pwhpa.com/event/team-sonnet-vs-team-adidas/
"December 9, 2022",2022-12-09 16:45:31,team-adidas-vs-team-scotiabank-2,adidas,adidas,2.0,Scotiabank,1.0,,Ottawa Showcase - Kemptville,https://stats.pwhpa.com/event/team-adidas-vs-team-scotiabank-2/
"December 9, 2022",2022-12-09 20:00:05,team-sonnet-vs-team-harveys-3,Harvey's,Sonnet,2.0,Harvey's,3.0,,Ottawa Showcase - Gatineau,https://stats.pwhpa.com/event/team-sonnet-vs-team-harveys-3/
"December 10, 2022",2022-12-10 15:00:20,team-adidas-vs-team-sonnet,adidas,adidas,4.0,Sonnet,0.0,,Ottawa Showcase,https://stats.pwhpa.com/event/team-adidas-vs-team-sonnet/
"December 10, 2022",2022-12-10 19:00:52,team-harveys-vs-team-scotiabank,Harvey's,Harvey's,3.0,Scotiabank,1.0,,Ottawa Showcase,https://stats.pwhpa.com/event/team-harveys-vs-team-scotiabank/
"January 21, 2023",2023-01-21 11:00:31,team-scotiabank-vs-team-adidas-2,nan,Scotiabank,,adidas,, 11:00:3111:00 am,Owen Sound,https://stats.pwhpa.com/event/team-scotiabank-vs-team-adidas-2/
"January 21, 2023",2023-01-21 13:30:16,team-harveys-vs-team-sonnet,nan,Harvey's,,Sonnet,, 13:30:161:30 pm,Collingwood,https://stats.pwhpa.com/event/team-harveys-vs-team-sonnet/
"January 22, 2023",2023-01-22 09:30:12,team-sonnet-vs-team-scotiabank-2,nan,Sonnet,,Scotiabank,, 09:30:129:30 am,Collingwood,https://stats.pwhpa.com/event/team-sonnet-vs-team-scotiabank-2/
"January 22, 2023",2023-01-22 12:30:56,team-adidas-vs-team-harveys-2,nan,adidas,,Harvey's,, 12:30:5612:30 pm,Collingwood,https://stats.pwhpa.com/event/team-adidas-vs-team-harveys-2/
